Date,Exercise,Result,Weight,Status
2025-06-13,Lateral Pull Down - Cable,9,9.00,Static
2025-06-13,ISO Lateral Row - Machine,Pw 30,30.00,Peak
2025-06-16,Lateral Pull Down - Cable,9,9.00,Static
2025-06-16,Leg Curls - Cable,10,10.00,Static
2025-06-16,Good Mornings - Barbell,30,30.00,Static
2025-06-16,Squat - Back - Barbell,50,50.00,Static
2025-06-16,Hack Squat - Machine,60,60.00,Static
2025-06-16,Squat - Front - Barbell,30,30.00,Static
2025-06-16,ISO Lateral Leg Extensions - Machine,5,5.00,Static
2025-07-15,Good Mornings - Barbell,25,25.00,Static
2025-07-15,ISO Lateral Leg Extensions - Machine,5,5.00,Static
2025-07-15,Hack Squat - Machine,40,40.00,Static
2025-07-15,Squat - Back - Barbell,40,40.00,Static
2025-07-15,Squat - Front - Barbell,25,25.00,Static
2025-07-27,Front Raises - Dumbell,6,6.00,Static
2025-07-27,ISO Lateral Row - Machine,Pw 30,30.00,Peak
2025-07-27,Curls - Hammer - Dumbell,8,8.00,Static
2025-07-27,Shoulder Press - Dumbell,10,10.00,Static
2025-07-27,Crunches - Weighted - Cable,20,20.00,Static
2025-07-27,Lateral Raise - Standing - Dumbell,5,5.00,Static
2025-07-27,Lateral Pull Down - Cable,9,9.00,Static
2025-07-29,Squat - Back - Barbell,45,45.00,Static
2025-07-29,Squat - Front - Barbell,30,30.00,Static
2025-07-29,Reverse Deficit Lunges - Barbell,15,15.00,Static
2025-07-29,Romanian Deadlifts - Barbell,40,40.00,Static
2025-08-07,Lateral Pull Down - Cable,7,7.00,Static
2025-08-07,Shoulder Press - Dumbell,10,10.00,Static
2025-08-07,Seated Pulley Row - V-Grip - Cable,7,7.00,Static
2025-08-07,Lateral Raise - Standing - Dumbell,8,8.00,Static
2025-08-07,Straight Arm Pushdown - Cable,10,10.00,Static
2025-08-10,Hip Thrusts - B-Stance - Dumbell,20,20.00,Static
2025-08-10,ISO Lateral Leg Extensions - Machine,15,15.00,Static
2025-08-10,Squat - Front - Barbell,32.5,32.50,Static
2025-08-10,Squat - Back - Barbell,40,40.00,Static
2025-08-10,Romanian Deadlifts - Barbell,40,40.00,Static
2025-08-12,Pectoral Flys - Cable,26,26.00,Static
2025-08-12,Bench Press - Flat - Barbell,27.5,27.50,Static
2025-08-12,Tricep Kick-Backs - Dumbell,2.7,2.70,Static
2025-08-12,Tricep Extension Pulldown - Rope - Cable,2.5,2.50,Static
2025-08-12,Curls - Simple - Dumbell,8,8.00,Static
2025-08-21,Straight Arm Pushdown - Cable,12.5,12.50,Static
2025-08-21,Lateral Raise - Standing - Dumbell,8,8.00,Static
2025-08-21,Seated Pulley Row - V-Grip - Cable,8,8.00,Static
2025-08-21,Lateral Pull Down - Cable,8,8.00,Static
2025-08-21,Shoulder Press - Dumbell,10,10.00,Static
2025-08-22,Squat - Back - Barbell,40,40.00,Static
2025-08-22,Squat - Front - Barbell,30,30.00,Static
2025-08-22,Romanian Deadlifts - Barbell,40,40.00,Static
2025-08-22,ISO Lateral Leg Extensions - Machine,10,10.00,Static
2025-08-22,Hip Thrusts - B-Stance - Dumbell,20,20.00,Static
2025-08-27,Tricep Kick-Backs - Dumbell,4,4.00,Static
2025-08-27,Curls - Simple - Dumbell,8,8.00,Static
2025-08-27,Tricep Extension Pulldown - Rope - Cable,7.5,7.50,Static
2025-08-27,Pectoral Flys - Cable,26,26.00,Static
2025-08-27,Bench Press - Flat - Barbell,30,30.00,Static
2025-08-30,Lateral Pull Down - Cable,9,9.00,Static
2025-08-30,Shoulder Press - Dumbell,12,12.00,Static
2025-08-30,Seated Pulley Row - V-Grip - Cable,9,9.00,Static
2025-08-30,Lateral Raise - Standing - Dumbell,8,8.00,Static
2025-08-30,Straight Arm Pushdown - Cable,12.5,12.50,Static
2025-08-31,Squat - Front - Barbell,10,10.00,Static
2025-08-31,Leg Curls - Cable,10,10.00,Static
2025-08-31,ISO Lateral Leg Extensions - Machine,10,10.00,Static
2025-08-31,Good Mornings - Barbell,32.5,32.50,Static
2025-08-31,Squat - Back - Barbell,50,50.00,Static
2025-08-31,Bulgarian Split Squat - Dumbell,7.5,7.50,Static
2025-09-04,Squat - Back - Barbell,50,50.00,Static
2025-09-04,Good Mornings - Barbell,32.5,32.50,Static
2025-09-04,Bulgarian Split Squat - Dumbell,7.5,7.50,Static
2025-09-04,ISO Lateral Leg Extensions - Machine,10,10.00,Static
2025-09-04,Leg Curls - Cable,10,10.00,Static
2025-09-04,Squat - Front - Barbell,10,10.00,Static
2025-09-11,Curls - Simple - Dumbell,8,8.00,Static
2025-09-11,Tricep Extension Pulldown - Rope - Cable,11,11.00,Static
2025-09-11,Bench Press - Flat - Barbell,30,30.00,Static
2025-09-11,Pectoral Flys - Cable,26,26.00,Static
2025-09-11,Tricep Kick-Backs - Dumbell,4,4.00,Static
2025-09-16,Lateral Pull Down - Cable,9,9.00,Static
2025-09-16,Shoulder Press - Dumbell,10,10.00,Static
2025-09-16,Seated Pulley Row - V-Grip - Cable,9,9.00,Static
2025-09-16,Lateral Raise - Standing - Dumbell,7.5,7.50,Static
2025-09-16,Straight Arm Pushdown - Cable,15,15.00,Static
2025-09-20,Bulgarian Split Squat - Dumbell,10,10.00,Static
2025-09-20,Good Mornings - Barbell,27.5,27.50,Static
2025-09-20,ISO Lateral Leg Extensions - Machine,10,10.00,Static
2025-09-20,Squat - Front - Barbell,25,25.00,Static
2025-09-20,Squat - Back - Barbell,40,40.00,Static
2025-09-20,Romanian Deadlifts - Barbell,40,40.00,Static
2025-09-22,Pectoral Flys - Cable,26,26.00,Static
2025-09-22,Bench Press - Flat - Barbell,30,30.00,Static
2025-09-22,Tricep Kick-Backs - Dumbell,4,4.00,Static
2025-09-22,Tricep Extension Pulldown - Rope - Cable,12,12.00,Static
2025-09-22,Curls - Simple - Dumbell,10,10.00,Static
2025-10-04,Bulgarian Split Squat - Dumbell,12.5,12.50,Static
2025-10-04,ISO Lateral Leg Extensions - Machine,10,10.00,Static
2025-10-04,Romanian Deadlifts - Barbell,40,40.00,Static
2025-10-04,Good Mornings - Barbell,30,30.00,Static
2025-10-12,Shoulder Press - Dumbell,12,12.00,Static
2025-10-12,Seated Pulley Row - V-Grip - Cable,9,9.00,Static
2025-10-12,Lateral Raise - Standing - Dumbell,7.5,7.50,Static
2025-10-12,Straight Arm Pushdown - Cable,15,15.00,Static
2025-10-12,Lateral Pull Down - Cable,11,11.00,Static
2025-10-13,Good Mornings - Barbell,30,30.00,Static
2025-10-13,Bulgarian Split Squat - Dumbell,12.5,12.50,Static
2025-10-13,Romanian Deadlifts - Barbell,40,40.00,Static
2025-10-13,ISO Lateral Leg Extensions - Machine,12.5,12.50,Static
2025-10-19,Bulgarian Split Squat - Dumbell,30,30.00,Static
2025-10-19,Romanian Deadlifts - Barbell,40,40.00,Static
2025-10-26,Romanian Deadlifts - Barbell,40,40.00,Static
2025-10-26,ISO Lateral Leg Extensions - Machine,30,30.00,Static
2025-10-26,Bulgarian Split Squat - Dumbell,30,30.00,Static
2025-10-26,Hack Squat - Machine,20,20.00,Static
2025-10-26,Leg Curls - Cable,6.25,6.25,Static
2025-10-28,Lateral Raise - Standing - Dumbell,7.5,7.50,Static
2025-10-28,Straight Arm Pushdown - Cable,10,10.00,Static
2025-10-28,Seated Pulley Row - V-Grip - Cable,9,9.00,Static
2025-10-28,Lateral Pull Down - Cable,9,9.00,Static
2025-10-28,Shoulder Press - Dumbell,12,12.00,Static
2025-10-29,Romanian Deadlifts - Barbell,40,40.00,Static
2025-10-29,ISO Lateral Leg Extensions - Machine,20,20.00,Static
2025-10-29,Bulgarian Split Squat - Dumbell,20,20.00,Static
2025-10-29,Hack Squat - Machine,20,20.00,Static
2025-10-31,1k Intervals - Run,3.5,3.50,Static
2025-10-31,Curls - Simple - Dumbell,10,10.00,Static
2025-10-31,Tricep Extension Pulldown - Rope - Cable,12.5,12.50,Static
2025-10-31,Bench Press - Flat - Barbell,30,30.00,Static
2025-10-31,Pectoral Flys - Cable,26,26.00,Static
2025-10-31,Tricep Kick-Backs - Dumbell,6,6.00,Static
2025-11-03,Romanian Deadlifts - Barbell,40,40.00,Static
2025-11-03,ISO Lateral Leg Extensions - Machine,20,20.00,Static
2025-11-03,Bulgarian Split Squat - Dumbell,20,20.00,Static
2025-11-03,Hack Squat - Machine,20,20.00,Static
2025-11-06,1k Intervals - Run,3.5,3.50,Static
2025-11-06,Tricep Extension Pulldown - Rope - Cable,12.5,12.50,Static
2025-11-06,Curls - Simple - Dumbell,10,10.00,Static
2025-11-06,Bench Press - Flat - Barbell,30,30.00,Static
2025-11-06,Pectoral Flys - Cable,26,26.00,Static
2025-11-06,Tricep Kick-Backs - Dumbell,6,6.00,Static
2025-11-12,Romanian Deadlifts - Barbell,40,40.00,Static
2025-11-12,ISO Lateral Leg Extensions - Machine,30,30.00,Static
2025-11-12,Bulgarian Split Squat - Dumbell,30,30.00,Static
2025-11-12,Hack Squat - Machine,20,20.00,Static
2025-11-12,Leg Curls - Cable,6.25,6.25,Static
2025-11-17,Leg Curls - Cable,6.25,6.25,Static
2025-11-17,Hack Squat - Machine,20,20.00,Static
2025-11-17,ISO Lateral Leg Extensions - Machine,30,30.00,Static
2025-11-17,Romanian Deadlifts - Barbell,40,40.00,Static
2025-11-17,Bulgarian Split Squat - Dumbell,30,30.00,Static
2025-11-20,Lateral Pull Down - Cable,8,8.00,Static
2025-11-20,Shoulder Press - Dumbell,8,8.00,Static
2025-11-20,Lateral Raise - Standing - Dumbell,5,5.00,Static
2025-11-23,Hack Squat - Machine,10,10.00,Static
2025-11-23,Bulgarian Split Squat - Dumbell,20,20.00,Static
2025-11-23,Leg Curls - Cable,7.5,7.50,Static
2025-11-23,ISO Lateral Leg Extensions - Machine,30,30.00,Static
2025-11-23,Romanian Deadlifts - Barbell,40,40.00,Static
2025-11-23,Lunges - Dumbell,30,30.00,Static
2025-12-15,ISO Lateral Leg Extensions - Machine,15,15.00,Static
2025-12-15,Romanian Deadlifts - Barbell,40,40.00,Static
2025-12-15,Hack Squat - Machine,15,15.00,Static
2025-12-15,Leg Curls - Cable,10,10.00,Static
2025-12-30,1k Intervals - Erg,2,2.00,Static
2025-12-30,Lateral Raise - Standing - Dumbell,6,6.00,Static
2025-12-30,Straight Arm Pushdown - Cable,10,10.00,Static
2025-12-30,Shoulder Press - Dumbell,10,10.00,Static
2025-12-30,Lateral Pull Down - Cable,8,8.00,Static
2025-12-30,Seated Pulley Row - V-Grip - Cable,8,8.00,Static
2026-01-06,Romanian Deadlifts - Barbell,40,40.00,Static
2026-01-06,ISO Lateral Leg Extensions - Machine,15,15.00,Static
2026-01-06,Lunges - Dumbell,12.5,12.50,Static
2026-01-06,Bulgarian Split Squat - Dumbell,0,0.00,Static
2026-01-06,Hack Squat - Machine,15,15.00,Static
2026-01-14,ISO Lateral Leg Extensions - Machine,15,15.00,Static
2026-01-14,Romanian Deadlifts - Barbell,40,40.00,Static
2026-01-14,Hack Squat - Machine,15,15.00,Static
2026-01-14,Leg Curls - Cable,10,10.00,Static
